blocker_id,pathway_id,component_scope,blocker_category,severity,current_status_or_token,evidence_path,blocker_description,blocks_dip_tau_canonical,blocks_fm_tau_canonical,blocks_tau_set_canonical,blocks_ratios,required_fix,expected_artifact_after_fix,suggested_next_task_id,dependencies
FX01,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,shared,original_signal_object,HARD_BLOCKER,REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,tables/aging/aging_prb03_tau_bundle_inventory.csv,Original signal identity is not closed to canonical-grade dataset lineage token for Dip pathway,YES,NO,YES,YES,Close canonical source dataset identity and source_run lineage token mapping for baseline lane,tables/aging/aging_prb03_tau_bundle_inventory.csv with COMPLETE lineage token,AGING-TAU-FIX-01-SHARED-DATASET-LINEAGE,NONE
FX02,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,shared,original_signal_object,HARD_BLOCKER,LINEAGE_METADATA_HARDENED_PENDING_F7S,tables/aging/aging_prb03_tau_bundle_inventory.csv,FM pathway inherits same unresolved canonical-grade source identity closure on baseline lane,NO,YES,YES,YES,Close canonical source dataset identity and source_run lineage token mapping for baseline lane,tables/aging/aging_prb03_tau_bundle_inventory.csv with COMPLETE lineage token,AGING-TAU-FIX-01-SHARED-DATASET-LINEAGE,NONE
FX03,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,shared,decomposition_component_extraction,SOFT_BLOCKER,OK_LINEAGE_PARTIAL_REQUIRES_F7S,tables/aging/aging_prb03_tau_bundle_inventory.csv,Decomposition provenance is known but not fully hardened to final canonical closure semantics,YES,NO,YES,YES,Promote decomposition provenance text to canonical closure token and freeze method contract,updated PRB03 inventory plus pathway summary with non-WARN baseline Dip rows,AGING-TAU-FIX-01-SHARED-DATASET-LINEAGE,FX01
FX04,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,shared,decomposition_component_extraction,SOFT_BLOCKER,OK_LINEAGE_PARTIAL_PENDING_F7S,tables/aging/aging_prb03_tau_bundle_inventory.csv,FM decomposition provenance is known but partial lineage/policy token remains open,NO,YES,YES,YES,Promote decomposition provenance text to canonical closure token and freeze method contract,updated PRB03 inventory plus pathway summary with non-WARN baseline FM rows,AGING-TAU-FIX-01-SHARED-DATASET-LINEAGE,FX02
FX05,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,shared,component_vs_wait_table,SOFT_BLOCKER,PARTIAL_GRID,tables/aging/aging_prb03_tau_bundle_inventory.csv,Component-vs-wait disclosures include partial grid caveat that is not yet resolved into canonical handling policy,YES,YES,YES,YES,Define canonical grid handling policy for baseline Dip/FM comparison lane and record it in lineage artifacts,bridge ledger notes and PRB03 notes with explicit canonical grid policy token,AGING-TAU-FIX-05-ROW-IDENTITY-COREGISTRATION,FX03
FX06,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,shared,component_vs_wait_table,SOFT_BLOCKER,PARTIAL_GRID,tables/aging/aging_prb03_tau_bundle_inventory.csv,Same partial-grid caveat affects FM side comparability and row-pair eligibility semantics,YES,YES,YES,YES,Define canonical grid handling policy for baseline Dip/FM comparison lane and record it in lineage artifacts,bridge ledger notes and PRB03 notes with explicit canonical grid policy token,AGING-TAU-FIX-05-ROW-IDENTITY-COREGISTRATION,FX04
FX07,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,Dip,tau_method,HARD_BLOCKER,REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,Dip tau method is defined but not canonical-ready until dataset-path and branch-resolution closure is completed,YES,NO,YES,YES,Close Dip-specific branch/component-definition lineage and bind tau method to canonical branch token,Dip sidecar lineage_status promoted to COMPLETE_BASELINE_CANONICAL,AGING-TAU-FIX-02-DIP-COMPONENT-BRANCH,FX01
FX08,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,Dip,tau_artifact,HARD_BLOCKER,canonical_status=non_canonical_pending_lineage,results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp.csv,Dip tau artifact is explicitly flagged non-canonical pending lineage,YES,NO,YES,YES,After lineage closure update canonical status contract for Dip baseline artifact,updated tau_vs_Tp contract metadata recorded in governance audit artifacts,AGING-TAU-FIX-06-CANONICAL-READINESS-GATE,FX07|FX11|FX13
FX09,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,Dip,sidecar_metadata,HARD_BLOCKER,lineage_status=REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,Dip sidecar required fields are present but lineage closure token remains open,YES,NO,YES,YES,Promote Dip sidecar lineage token to canonical COMPLETE class with locked provenance keys,updated tau_vs_Tp_sidecar.csv plus PRB03 bundle rows reclassified from WARN,AGING-TAU-FIX-04-SIDECAR-HARDENING,FX07
FX10,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,Dip,dataset_path,HARD_BLOCKER,source_dataset_id disclosed but unresolved lineage closure,tables/aging/aging_prb03_tau_bundle_inventory.csv,Dataset path is present but not closed as canonical lineage identity for Dip pathway,YES,NO,YES,YES,Close dataset identity policy including canonical path/hash token in governance artifacts,updated dataset lineage closure table referenced by PRB03 inventory,AGING-TAU-FIX-01-SHARED-DATASET-LINEAGE,FX01
FX11,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,Dip,branch_component_definition,HARD_BLOCKER,DIP_BRANCH_RESOLUTION_PENDING,results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp_sidecar.csv,Dip branch/component definition is not fully frozen at canonical governance level,YES,NO,YES,YES,Define and freeze Dip branch/component-definition contract for baseline pathway,Dip branch closure audit artifact and updated pathway summary token,AGING-TAU-FIX-02-DIP-COMPONENT-BRANCH,FX03
FX12,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,FM,tau_method,POLICY_BLOCKER,LINEAGE_METADATA_HARDENED_PENDING_F7S,results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp_sidecar.csv,FM tau method lane is policy-gated pending F7S lineage hardening closure,NO,YES,YES,YES,Resolve FM tau-policy hardening gate and promote lineage token from pending to complete,FM sidecar and PRB03 rows with COMPLETE policy lineage token,AGING-TAU-FIX-03-FM-COMPONENT-BRANCH,FX02
FX13,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,FM,sidecar_metadata,POLICY_BLOCKER,lineage_status=LINEAGE_METADATA_HARDENED_PENDING_F7S,results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp_sidecar.csv,FM sidecar metadata is present but still blocked by pending hardening token,NO,YES,YES,YES,Upgrade FM sidecar lineage metadata to canonical closure status under approved policy,updated tau_FM_vs_Tp_sidecar.csv plus PRB03 revalidation output,AGING-TAU-FIX-04-SIDECAR-HARDENING,FX12
FX14,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,FM,branch_component_definition,POLICY_BLOCKER,FM_ABS_AS_READ_NO_WRITER_ABS_TRANSFORM_PENDING_SIGNED_SOURCE,results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp.csv,FM magnitude convention and signed-source disclosure remain scoped and not finalized for canonical use,NO,YES,YES,YES,Finalize FM component convention contract and signed-source disclosure semantics,FM convention closure artifact referenced by registry and PRB03 inventory,AGING-TAU-FIX-03-FM-COMPONENT-BRANCH,FX04
FX15,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,shared,row_identity,HARD_BLOCKER,ID_BRIDGE_CO_REGISTERED_SATISFIED=PARTIAL,tables/aging/aging_prb02b_f7v_bridge_status.csv,Row identity is only partial and lacks full UID bridge layer for canonical multipath eligibility,YES,YES,YES,YES,Implement full row-identity bridge layer and validate against charter row-identity contract,updated PRB02B ledger and audit with row_identity validated fully,AGING-TAU-FIX-05-ROW-IDENTITY-COREGISTRATION,FX05|FX09|FX13
FX16,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,shared,row_identity,HARD_BLOCKER,ID_BRIDGE_CO_REGISTERED_SATISFIED=PARTIAL,tables/aging/aging_prb02b_f7v_bridge_status.csv,Same partial row-identity bridge status blocks FM canonical pair eligibility,YES,YES,YES,YES,Implement full row-identity bridge layer and validate against charter row-identity contract,updated PRB02B ledger and audit with row_identity validated fully,AGING-TAU-FIX-05-ROW-IDENTITY-COREGISTRATION,FX06|FX09|FX13
FX17,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,shared,co_registration,HARD_BLOCKER,rows_comparison_eligible_now=0,tables/aging/aging_prb03_tau_bundle_pathway_summary.csv,Co-registration exists by Tp groups but comparison eligibility remains zero under WARN lineage partial state,YES,YES,YES,YES,Promote co-registered baseline rows from partial pending to eligible after lineage and identity closure,PRB03 pathway summary rows_comparison_eligible_now greater than 0 for baseline paths,AGING-TAU-FIX-05-ROW-IDENTITY-COREGISTRATION,FX15|FX16
FX18,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,shared,co_registration,HARD_BLOCKER,rows_comparison_eligible_now=0,tables/aging/aging_prb03_tau_bundle_pathway_summary.csv,FM baseline rows are co-registered but still not comparison-eligible due to unresolved blockers,YES,YES,YES,YES,Promote co-registered baseline rows from partial pending to eligible after lineage and identity closure,PRB03 pathway summary rows_comparison_eligible_now greater than 0 for baseline paths,AGING-TAU-FIX-05-ROW-IDENTITY-COREGISTRATION,FX15|FX16
FX19,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,shared,policy_status,POLICY_BLOCKER,BASELINE_DIP_BUNDLE_STATUS=WARN_LINEAGE_PARTIAL,tables/aging/aging_prb03_tau_bundle_status.csv,Policy gate still blocks canonical and ratio/comparison use despite structural metadata presence,YES,YES,YES,YES,Run governance readiness gate after technical closures and update policy status flags,PRB03 status and fixplan readiness targets marked PASS,AGING-TAU-FIX-06-CANONICAL-READINESS-GATE,FX17|FX18
FX20,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,shared,policy_status,POLICY_BLOCKER,BASELINE_FM_BUNDLE_STATUS=WARN_LINEAGE_PARTIAL,tables/aging/aging_prb03_tau_bundle_status.csv,FM policy status remains conservative and blocks canonical and downstream use,YES,YES,YES,YES,Run governance readiness gate after technical closures and update policy status flags,PRB03 status and fixplan readiness targets marked PASS,AGING-TAU-FIX-06-CANONICAL-READINESS-GATE,FX17|FX18
FX21,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,shared,naming,NAMING_BLOCKER,TRACK_LABELS_ALIAS_ONLY=tokens forbidden as pathway_id,tables/aging/aging_prb01_pathway_registry_aliases.csv,Need explicit enforcement that Track A or Track B and tau_effective_seconds are never pathway IDs in canonical bundle context,YES,YES,YES,YES,Publish naming guard mapping in canonicalization artifacts and require semantic pathway labels in outputs,updated naming policy artifact referenced by readiness gate,AGING-TAU-FIX-04-SIDECAR-HARDENING,FX01
FX22,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,shared,naming,NAMING_BLOCKER,TAU_EFFECTIVE_SECONDS_NOT_PATHWAY_ID=YES,tables/aging/aging_prb03_tau_bundle_status.csv,Need continued naming hardening to avoid ambiguous joins by legacy tau column name,YES,YES,YES,YES,Publish naming guard mapping in canonicalization artifacts and require semantic pathway labels in outputs,updated naming policy artifact referenced by readiness gate,AGING-TAU-FIX-04-SIDECAR-HARDENING,FX02
