old_analysis_component,old_reference_path_or_label,canonical_or_replay_counterpart_path,reconstruction_status,evidence_status,blocker_if_any,recommendation,notes
OLD_FULL_SCALING,switching_full_scaling_collapse.m; docs/switching_analysis_map.md#OLD_FULL_SCALING,LEGACY_OLD_TEMPLATE runs + alignment-era outputs; DIAGNOSTIC_FORENSIC replays possible,HISTORICAL_TEMPLATE,REFERENCED_IN_MAP,,Use explicit namespace; not interchangeable with CANON_GEN PT/CDF without bridge per B04
OLD_BARRIER_PT,analysis/switching_barrier_distribution_from_map.m; results_old/switching/runs/run_2026_03_24_212033_switching_barrier_distribution_from_map/tables/PT_matrix.csv (artifact index),Verified legacy PT_matrix route used as AUTHORITATIVE_TEMPLATE_REFERENCE in gated corrected-old builder,REPLAYED_INTO_CORRECTED_OLD,AUTHORITATIVE_TEMPLATE_REFERENCE for builder branch,,Indexed in tables/switching_corrected_old_authoritative_artifact_index.csv; FALLBACK_USED=NO in builder status
OLD_RESIDUAL_DECOMP,Switching/analysis/switching_residual_decomposition_analysis.m; docs/switching_analysis_map.md#OLD_RESIDUAL_DECOMP,CORRECTED_CANONICAL_OLD_ANALYSIS authoritative maps + residual maps from run_switching_corrected_old_authoritative_builder (see index),RECONSTRUCTED_VIA_CORRECTED_OLD_AUTHORITATIVE,AUTHORITATIVE for manuscript when cited with CORRECTED_CANONICAL_OLD_ANALYSIS,,Phi/kappa here are not CANON_GEN native-I phi1/kappa1 per governance manifest
CANON_GEN mixed producer,Switching/analysis/run_switching_canonical.m; switching_canonical_S_long.csv,CANON_GEN_SOURCE (S via source_view) + EXPERIMENTAL_PTCDF_DIAGNOSTIC (PT/CDF columns) + DIAGNOSTIC_MODE_ANALYSIS (residual_percent phi1 kappa1),OPERATIONAL_PRODUCER,COLUMN_SELECTIVE,,reports/switching_canonical_S_long_column_namespace.md for column-level claims
REPLAY_PHI1_KAPPA1,run_switching_phi1_kappa1_experimental_replay.m,Consumes frozen S_long; replay status CSVs under runs per map,REPLAY_DIAGNOSTIC,B03_PARTIAL,,Not manuscript backbone; inherits EXPERIMENTAL PT semantics for residual
CANON_COLLAPSE_FAMILY,run_switching_canonical_collapse_hierarchy.m; run_switching_canonical_collapse_visualization.m; run_switching_canonical_ptcdf_collapse_overlay.m,Hierarchy CSVs and figures under results/switching per inventory,DERIVED_ON_CANON_GEN,B02_PARTIAL,,pred0 ties to S_model_pt_percent; cite dual namespace
PHI2_KAPPA2_HYBRID,Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m,PHI2_KAPPA2_HYBRID outputs; first stage OLD_RESIDUAL_DECOMP,QUARANTINED_FOR_MANUSCRIPT,B07_NOT_SAFE_AS_CANONICAL,Filename canonical vs OLD_RESIDUAL_DECOMP first stage,Relabel or revalidate before manuscript canonical claims per switching_analysis_map quarantine table
CORRECTED_CANONICAL_OLD_ANALYSIS authoritative package,run_switching_corrected_old_authoritative_builder + scripts/run_switching_corrected_old_authoritative_builder.ps1,tables/switching_corrected_old_authoritative_*.csv; tables/switching_corrected_old_authoritative_builder_status.csv,RECONSTRUCTED_GATED,AUTHORITATIVE when gates YES,,SAFE_TO_USE_CORRECTED_OLD_AS_AUTHORITATIVE=YES in builder status; publication figures still PARTIAL
Phi2_kappa2 corrected-old authoritative,N/A (artifact index row),N/A,NOT_RECONSTRUCTED,MISSING_ROW_IN_INDEX,,MISSING per switching_corrected_old_authoritative_artifact_index.csv; do not conflate with PHI2_KAPPA2_HYBRID diagnostics
TASK_002B backbone parity bridge,tables/switching_missing_reconstruction_tasks_aligned.csv TASK_002B,tables/switching_old_vs_canonical_backbone_comparison.csv (input); outputs NOT_DONE per current_state,NOT_COMPLETED,PLANNED,TASK_002B dependency on legacy residual_decomposition_quality paths,Run comparison agent when inputs resolved; explicit namespace labels required
Legacy Switching ver12 pipeline,docs/repository_structure.md Switching ver12,Imported for alignment audits per docs; not manuscript backbone,LEGACY_RUNTIME,PARTIAL_REFERENCE_ONLY,,Historical reproducibility; separate from CORRECTED_CANONICAL_OLD_ANALYSIS evidence path
CANON_FIGURE_REPLAY,scripts/run_switching_stabilized_gauge_figure_replay.m; map visualization runners per map,figures/switching/; run-scoped outputs,OPERATIONAL,B05_FIGURE_ONLY,,Figure replay is not new physics reconstruction per R07
DIAGNOSTIC_FORENSIC audits,run_switching_backbone_validity_audit.m; collapse breakdown; metadata sidecars per map,reports/switching/*.md; audit CSVs,OPERATIONAL,B06_SUPPORTING_ONLY,,Not primary manuscript physics without framing
Phase_4B_C02_C02B_collapse_QA,docs/switching_phi1_terminology_contract.md,figures/switching phase4B families referenced in git status / reports,QA_INSPECTION_ONLY,NOT_PHI1_DEFINITION,,Primary collapse variants are inspection evidence; git shows deleted phase4B_C02 PNG/fig tracked as D in working tree — operator hygiene separate from this survey
P0_cross_module_scaling_and_Xeff,docs/cross_module_switching_relaxation_AX_index.md P0 section,run_relaxation_switching_scaling_01.m through 03; activity scalarization; svd xscaling; CM-SW-RLX-AX_20A tables/reports,PARTIALLY_MATERIALIZED,AX_EVIDENCE_PACKAGE_FOR_BOUNDED_CLAIMS,LEGACY_AX_FUNCTIONAL blocked missing outputs per index,Maintain invD vs X_eff forbidden-replacement wording; P0 Switching table path in TASK_005 may need generation
Coordinate_identifiability_X_canon_vs_Xeff,reports/switching_corrected_canonical_current_state.md; switching_forbidden_conflations,TASK_005 WI/X gauge reconstruction program,PLANNED_TASK_005,PARTIAL_GOVERNANCE_ONLY,TASK_005 depends on TASK_003 per task table,Use explicit gauge labels; no bare X or collapse claims
Publication_figures_from_authoritative_tables,TASK_009 TASK_012 in switching_missing_reconstruction_tasks_aligned.csv,SAFE_TO_CREATE_PUBLICATION_FIGURES=PARTIAL in builder status,NOT_AUTHORIZED_FULL,QUARANTINED_NON_AUTH_FIGURES_EXIST,TASK_009-012 gates; quarantined switching_corrected_old_*.png,Complete provenance remap then authorization decision per reconstruction program
Quarantined_corrected_old_named_figures,figures/switching/canonical/switching_corrected_old_*.png,reports/switching_quarantine_index.md; tables/switching_misleading_or_dangerous_artifacts.csv,QUARANTINED,HAZARD_REGISTRY,,Do not cite as CORRECTED_CANONICAL_OLD_ANALYSIS; regenerate from authoritative CSVs after gates
