artifact,reason_for_quarantine,misread_as,actual_namespace,safe_use,unsafe_use,warning_visible_in_artifact,required_next_action
scripts/run_sw_old_inv_phi1_viz.m,name suggests corrected-old replay,corrected-old manuscript authority,QUARANTINED_MISLEADING / EXPERIMENTAL diagnostic flow,Read header comments only as hazard warning,"Run as manuscript evidence",NO — warning in script header only if present,Keep in registry; optional header refresh from namespace template
scripts/run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m,corrected-old inventory,safe authoritative inventory,QUARANTINED_MISLEADING — uses S_model_pt_percent backbone,Forensics with QUARANTINE label; not primary evidence,Trust outputs as authoritative corrected-old,YES partial — name vs behavior,Maintain quarantine index; regenerate figures only under authorized builders
scripts/run_sw_corr_old_replay_auth.m,false authority implication,authoritative corrected-old generator,QUARANTINED_MISLEADING — historical failed / stale flows per registry,Do not use outputs without checking builder status table,Cite as successful authority if stale,UNKNOWN — check script header,"Verify row text vs latest builder; prefer supersession report"
reports/switching_corrected_old_replay_inventory_and_phi1_visual_sanity.md,narrative ambiguity,main-manuscript corrected-old evidence,QUARANTINED_MISLEADING / diagnostic framing,Historical read with QUARANTINE banner if file exists,Treat as binding manuscript proof,NO — external registry unless report gains banner,Add warning banner if report exists in workspace
Switching/analysis/run_switching_canonical.m,mixed producer,single clean backbone script,CANON_GEN_SOURCE + EXPERIMENTAL + DIAGNOSTIC layers,Use with splitter/source view + column namespace doc,Feed PT/CDF columns into corrected-old authority claims without separation,NO — use governance docs,Continue post-run split workflow
Switching/analysis/run_switching_canonical.m::S_model_pt_percent,PT/CDF column,corrected-old backbone,CANON_GEN → EXPERIMENTAL_PTCDF_DIAGNOSTIC,Diagnostics hierarchy plots labeled experimental,Manuscript primary backbone for CORRECTED path,NO — column has no embedded warning,Always cite switching_canonical_S_long_column_namespace.md
Switching/analysis/run_switching_canonical.m::residual_percent,residual tied to diagnostic baseline,corrected-old residual,CANON_GEN → DIAGNOSTIC_MODE_ANALYSIS,Diagnostic residual studies,"Authoritative corrected-old residual map",NO,
Switching/analysis/run_switching_canonical.m::switching_canonical_phi1.csv output,mode shape from producer,corrected-old Phi1,CANON_GEN → DIAGNOSTIC_MODE_ANALYSIS,Diagnostic rank audits,switching_corrected_old_authoritative_phi1.csv substitution,NO,
Switching/analysis/run_switching_canonical.m::kappa1_observable,decomposition amplitude,corrected-old kappa1,CANON_GEN → DIAGNOSTIC_MODE_ANALYSIS,Diagnostic observables track,"Authoritative corrected-old kappa1 substitution",NO,
figures/switching/canonical/switching_corrected_old_raw_S_map.png,visual naming,corrected-old authoritative S map,QUARANTINED_MISLEADING provenance,Do not cite in manuscript figures,Treat as authoritative,FILENAME ONLY — high confusion,"Caption ban or move to quarantine folder policy"
figures/switching/canonical/switching_corrected_old_backbone_map.png,diagnostic backbone in flow,authoritative backbone map,QUARANTINED_MISLEADING — S_model_pt_percent path,Not for publication evidence deck,Manuscript backbone figure,NO embedded,
figures/switching/canonical/switching_corrected_old_residual_map.png,residual vs diagnostic baseline,authoritative residual,QUARANTINED_MISLEADING,Archive-only context,"Evidence slide",NO embedded,
figures/switching/canonical/switching_corrected_old_residual_map_symmetric.png,presentation variant,same as residual_map,QUARANTINED_MISLEADING,same,same,NO embedded,
figures/switching/canonical/switching_corrected_old_phi1_shape.png,ad hoc phi,corrected-old Phi1,QUARANTINED_MISLEADING,same,same,NO embedded,
figures/switching/canonical/switching_corrected_old_kappa1_vs_T.png,mixed amplitude path,corrected-old kappa1,QUARANTINED_MISLEADING,same,same,NO embedded,
figures/switching/canonical/switching_corrected_old_mode1_reconstruction_map.png,ad hoc chain,authoritative mode1,QUARANTINED_MISLEADING,same,same,NO embedded,
figures/switching/canonical/switching_corrected_old_residual_after_mode1_map.png,ad hoc chain,authoritative remainder,QUARANTINED_MISLEADING,same,same,NO embedded,
figures/switching/canonical/switching_corrected_old_residual_cuts_before_after_mode1.png,ad hoc comparison,authoritative cuts,QUARANTINED_MISLEADING,same,same,NO embedded,
figures/switching/canonical/switching_corrected_old_*.fig,if present,authoritative companion,QUARANTINED_MISLEADING per naming rule,Archive,same,UNKNOWN,
figures/switching/canonical/switching_canonical_fixed_T_current_cuts_raw_S.png,scope boundary,corrected-old risk vs canonical S,CANON_GEN figure family — separate classification,Canonical measured-S claims with proper namespace,Treat as contaminated corrected-old,NO — classify per provenance,See figure inventory governance
figures/switching/canonical/switching_canonical_X_components_panel*.png,scope boundary,X gauge vs corrected-old,CANON_FIGURE_REPLAY / gauge family per inventory,Gauge-only narrative with namespace,Collapse/decomposition claim without bridge,NO,
figures/switching/canonical/switching_canonical_primary_collapse*.png,scope boundary,collapse vs decomposition,OLD_FULL_SCALING / CANON_COLLAPSE_FAMILY context per script,Cited with correct family id,Universal backbone claim,NO,
reports/switching_corrected_old_replay_inventory_and_phi1_visual_sanity.md (if generated),registry_placeholder_report,narrative ambiguity when materialized,QUARANTINED_MISLEADING / diagnostic framing per misleading table,Read only with banner if file appears — treat as hazard until regenerated under governance,Treat as manuscript binding proof,NO — file often absent,"When/if inventory script writes this path prepend markdown warning block from template"
scripts/run_switching_phase5B_residual_absorption_test.ps1,diagnostic_overlap_canonical_modes,residual absorption vs canonical Phi1 geometry,EXPERIMENTAL_PTCDF_DIAGNOSTIC / DIAGNOSTIC_COMPARE,CDF_pt-grid PCA overlap studies labeled diagnostic,Phase 5C primary manuscript claims without canonical mode citation,NO — script output prose,"Covered at category level by switching_analysis_map Phase5B notes; listed here for discoverability"
category_uncatalogued_switching_scripts,broad_ambiguity_sweep_residual_bucket,authoritative manuscript evidence,mixed — use backbone family tree per script,Use switching_broad_artifact_ambiguity_sweep.md + script headers,Assuming any run_switching_canonical_* is CORRECTED authority,N/A — category pointer,"Final micro-pass: remaining scripts either header-tagged or explicitly LOW/audit class in sweep table"
